timestamp,head_pitch,head_roll,head_movement,TP9_delta,TP9_theta,TP9_alpha,TP9_beta,TP9_gamma,AF7_delta,AF7_theta,AF7_alpha,AF7_beta,AF7_gamma,AF8_delta,AF8_theta,AF8_alpha,AF8_beta,AF8_gamma,TP10_delta,TP10_theta,TP10_alpha,TP10_beta,TP10_gamma,heart_rate_bpm,breathing_rate_bpm
1762639182.287018,63.637568268408636,-14.721814404528903,0.9584400259524212,202904.779796519,131545.07176534788,25866.08228058632,2240.3342842424104,62.598176725149,29670.04142833426,10894.937071617753,1331.6090653130104,841.6171420069373,526.3253481985728,2709.639135579379,880.1879081324358,234.89639751015517,60.43968240600476,79.272798585453,285198.24813540716,151967.7366659308,8173.6320421898645,1473.4345571953152,34.33967202362475,52.244897959183675,
1762639183.289773,72.20944328320073,-22.676004545433962,1.0036856158299137,222371.15309381558,134107.41407023792,26042.893191649233,1757.4784407491632,53.870330402066884,27208.096633623914,10528.519005438482,1340.1513786683477,542.3447185594218,361.67587969662327,2494.577818729361,870.7438417521346,233.60806451011638,64.60761552869778,78.31758558903468,278934.3615309829,158010.38659368872,7324.385095912574,1439.7889926121356,39.18942624645596,49.87012987012987,24.45859872611465
1762639184.310078,79.12110030336625,-156.51240412558678,1.0102215596664934,246073.02380928604,135913.44058922867,24029.681680356593,2215.384350492984,63.57348396497341,19741.6488752718,11186.278564961109,1264.5113841813634,426.5015550262003,297.94412536747126,1802.3525508006119,921.7533338508578,223.99709348836873,64.35698830560186,80.3026326817263,251700.4700053922,157239.3876763082,7236.200705363218,1495.0487204946094,37.49046898031982,51.2,17.066666666666666
1762639185.345919,46.41244389669292,-5.2852551384703945,0.9302892286347315,218158.57378861896,142114.76555684578,26923.86348053631,2097.762172002267,64.9280858240921,13961.324309604326,10611.35242906197,1754.5656888255567,491.56482459568036,319.6308444218205,2209.013600818756,869.4641796507525,247.35278302082577,56.256736989336176,78.9622167666513,249764.16179448107,153106.6836827604,7749.900244773509,1383.5387562852366,35.26296442559483,51.891891891891895,10.24
1762639186.365952,-33.119104294590095,1.1957455901415464,1.0022449260748947,242439.66347068135,138477.4752973154,19963.083792802565,2041.7847631580228,84.45907184929123,12663.806324728259,10506.565943975898,2015.1258084948063,584.2484356543343,335.3419208661011,1712.5140840451913,940.5583133872298,226.56281779663396,67.55794945235338,80.56700358427737,292915.17976593226,153402.26849290612,7254.160356587605,1537.798087961793,34.94806748965048,52.96551724137931,19.79381443298969
1762639187.368711,-79.87895713533348,26.50584391036196,1.0522019750784062,196349.27399599372,142470.82624210295,13151.771164808299,2403.4202816502107,106.70402207749953,9393.742086541788,10724.077461481575,1607.1760226624206,497.0444793840008,354.53091568255655,1261.20408935524,849.6233533696427,222.52163306044238,57.9510799466135,82.92071596817321,220128.04158128792,145906.78627395065,8469.679772916554,1434.3811066107075,30.91434729582045,49.87012987012987,18.19905213270142
1762639188.3886578,-84.85072144477249,88.38051387773677,1.1068849470596664,222392.38788127422,146690.6022147738,10319.273557881312,1914.6395144908993,88.33415456195951,10032.699954441348,10002.198208805583,1512.8004167776905,449.83999430678585,388.0328405726855,1305.6680608059469,800.1384889000757,221.8295455947458,58.42679838712536,80.6138071755704,309075.9121890574,150334.300637601,6913.185735491645,1397.5949162394754,35.47861419346791,49.87012987012987,9.045936395759718
1762639189.391692,-35.10315134567875,8.481880104867708,0.9468651576924755,189470.07010930212,138883.86350407722,10692.286674001047,1863.9145529075367,119.21496133652856,7016.682134892307,10360.84575920975,1752.9835562230728,477.141557380721,432.45530308995376,822.1549628348531,815.5177361212615,222.09665298945777,60.224978734578386,81.64088993233264,293346.3785975129,148560.76099950727,9393.283016460187,1585.3159207426263,41.69936170635477,51.2,14.169741697416974
1762639190.401197,-18.050718519661018,0.07781965446905602,0.8980204140436986,172273.0669175998,141267.28361350542,11575.983090653563,1571.7881718057563,125.4279164430486,10811.551049763319,11588.903800076707,2348.633475465373,541.9401297258036,507.52453432290577,769.1812899055515,797.7204886849979,251.76088281655757,51.65028755967837,81.01602502110492,230195.10437391466,150819.62119996914,10363.663569205468,1426.0303795696602,50.40764683987373,49.87012987012987,14.117647058823529
1762639191.432983,-26.11471170405543,-0.8908958900119783,1.0098817128893274,180250.49887085543,143613.88847839218,10238.959402998618,1586.437131976542,107.40916875943229,11516.412549335813,13149.839002141445,2058.5239308174428,836.2043584609667,592.1309503784167,895.2280163369644,813.1655261556452,245.00389786124032,56.93876711734496,80.6982592979128,273906.3864113362,154773.3792814522,9380.50799778535,1602.0177626820016,40.72984462379594,46.829268292682926,16.768558951965066
1762639192.434618,-13.111168913390035,-5.312011755593543,0.984242723325355,170796.52505285604,149364.024869588,14323.894234236004,1799.5173432901745,139.14594417177156,24770.126591929886,12959.139635159441,2033.675611672672,753.1093241096191,619.7661216310723,816.4816778069344,709.1713063345494,249.74362986998688,51.48263061417284,81.7564719025052,262346.59870287264,156925.1719548266,12083.210916339682,1690.5433949383191,62.6557085894316,51.2,14.65648854961832
